"collection"	"year"	"title"	"author"	"journal"	"doi"
"SDIV"	NA	"Sustainable protected areas: Synergies between biodiversity conservation and socioeconomic development"	"Gatiso, Tsegaye T., Kulik, Lars, Bachmann, Mona, Bonn, Aletta, Bösch, Lukas, Freytag, Andreas, Heurich, Marco, Wesche, Karsten, Winter, Marten, Ordaz-Németh, Isabel, Sop, Tenekwetche and Kühl, Hjalmar S."	"People and Nature"	"10.1002/pan3.10326"
"SDIV"	2013	"Key role of symbiotic dinitrogen fixation in tropical forest secondary succession"	"Batterman, Sarah A., Hedin, Lars O., van Breugel, Michiel, Ransijn, Johannes, Craven, Dylan J. and Hall, Jefferson S."	"Nature"	"10.1038/nature12525"
"SDIV"	2013	"Correlations between global and regional measures of invasiveness vary with region size"	"Dawson, Wayne, Keser, Lidewij, Winter, Marten, Pyšek, Petr, Kartesz, John, Nishino, Misako, Fuentes, Nicol, Chytrý, Milan, Celesti-Grapow, Laura and van Kleunen, Mark"	"NeoBiota"	"10.3897/neobiota.16.4351"
"SDIV"	2013	"Native, alien, endemic, threatened, and extinct species diversity in European countries"	"Essl, Franz, Moser, Dietmar, Dirnböck, Thomas, Dullinger, Stefan, Milasowszky, Norbert, Winter, Marten and Rabitsch, Wolfgang"	"Biological Conservation"	"10.1016/j.biocon.2013.04.005"
"SDIV"	2013	"European grassland ecosystems: threatened hotspots of biodiversity"	"Habel, JanChristian, Dengler, Jürgen, Janišová, Monika, Török, Péter, Wellstein, Camilla and Wiezik, Michal"	"Biodiversity and Conservation"	"10.1007/s10531-013-0537-x"
"SDIV"	2013	"Mind the gaps when using science to address conservation concerns"	"Habel, JanChristian, Gossner, MartinM, Meyer, SebastianT, Eggermont, Hilde, Lens, Luc, Dengler, Jürgen and Weisser, WolfgangW"	"Biodiversity and Conservation"	"10.1007/s10531-013-0536-y"
"SDIV"	2013	"Steppes of Southern Siberia – Experiences from the 6th EDGG Research Expedition to Khakassia, Russia (22 July – 1 August 2013)"	"Janišová, M., Becker, T., Becker, U., Demina, O., Dembicz, I., Ermakov, N., Filibeck, G., Frank, D., Guarino, R., Jaunatre, R., Kozub, Ł., Polyakova, M., Suzuki, K. and Dengler, J."	"Bulletin of the European Dry Grassland Group"	NA
"SDIV"	2013	"Contrasting changes in taxonomic, phylogenetic and functional diversity during a long-term succession: insights into assembly processes"	"Purschke, Oliver, Schmid, Barbara C., Sykes, Martin T., Poschlod, Peter, Michalski, Stefan G., Durka, Walter, Kühn, Ingolf, Winter, Marten and Prentice, Honor C."	"Journal of Ecology"	"10.1111/1365-2745.12098"
"SDIV"	2013	"Misleading criticisms of invasion science: a field guide"	"Richardson, David M. and Ricciardi, Anthony"	"Diversity and Distributions"	"10.1111/ddi.12150"
"SDIV"	2013	"Conquering current obstacles for avoiding the misuse of evolutionary diversity in nature conservation: a reply to Flosauer and Mooers"	"Winter, Marten, Devictor, Vincent and Schweiger, Oliver"	"Trends in Ecology & Evolution"	"10.1016/j.tree.2013.02.011"
"SDIV"	2013	"Phylogenetic diversity and nature conservation: where are we?"	"Winter, M., Devictor, V. and Schweiger, O."	"Trends in Ecology & Evolution"	"10.1016/j.tree.2012.10.015"
"SDIV"	2014	"Dry grasslands of Southern Europe: syntaxonomy, management and conservation"	"Apostolova, I., Dengler, J., Di Pietro, Romeo, Gavilán, Rosario G. and Tsiripidis, Ioannis"	"Hacquetia"	"10.2478/hacq-2014-0015"
"SDIV"	2014	"A global analysis of the impacts of urbanization on bird and plant diversity reveals key anthropogenic drivers"	"Aronson, Myla F. J., La Sorte, Frank A., Nilon, Charles H., Katti, Madhusudan, Goddard, Mark A., Lepczyk, Christopher A., Warren, Paige S., Williams, Nicholas S. G., Cilliers, Sarel, Clarkson, Bruce, Dobbs, Cynnamon, Dolan, Rebecca, Hedblom, Marcus, Klotz, Stefan, Kooijmans, Jip Louwe, Kühn, Ingolf, MacGregor-Fors, Ian, McDonnell, Mark, Mörtberg, Ulla, Pyšek, Petr, Siebert, Stefan, Sushinsky, Jessica, Werner, Peter and Winter, Marten"	"Proceedings of the Royal Society B: Biological Sciences"	"10.1098/rspb.2013.3330"
"SDIV"	2014	"Diversity of dry grasslands in Navarre (Spain): Experiences from the 7th EDGG Field Workshop, 15–24 June 2014"	"Biurrun, I., García-Mijangos, I., Berastegi, A., Ambarli, D., Dembicz, I., Filibeck, G., Jandt, U., Janišová, M., Jaunatre, R., Kącki, Z., Kuzemko, A., Pedashenko, H., Polchaninova, N.Y., Vynokurov, D. and Dengler, J."	"Bulletin of the European Dry Grassland Group"	NA
