"","Journal","IsDafnee"
"1","Acarologia","ok"
"2","Acta Adriatica","ok"
"3","Acta Botanica Gallica","no"
"4","Acta Chiropterologica","ok"
"5","Acta Ethologica","no"
"6","Acta Oecologica","no"
"7","Acta Ornithologica","ok"
"8","Acta Palaeobotanica","ok"
"9","Acta Palaeontologica Polonica","ok"
"10","Acta Tropica","no"
"11","Adansonia","ok"
"12","Advances in Ecological Research","no"
"13","Advances in Parasitology","no"
"14","African Archaeological Review","no"
"15","African Entomology","ok"
"16","African Journal of Aquatic Science","ok"
"17","African Journal of Wildlife Research","ok"
"18","African Zoology","ok"
"19","Agriculture","no"
"20","Agriculture and Natural Resources","ok"
"21","Agronomy","no"
"22","Algorithmica","no"
"23","Algorithms for Molecular Biology","no"
"24","Alpine and Mediterranean Quaternary","ok"
"25","Alzheimer's & Dementia","ok"
"26","Ambio","ok"
"27","Ameghiniana","ok"
"28","American Fern Journal","ok"
"29","American Journal of Biological Anthropology","ok"
"30","American Journal of Botany","ok"
"31","American Journal of Physical Anthropology","no"
"32","American Journal of Tropical Medicine and Hygiene","ok"
"33","American Malacological Bulletin","ok"
"34","American Museum Novitates","ok"
"35","Amphibia-Reptilia","ok"
"36","Animal","ok"
"37","Animal Behaviour","ok"
"38","Animal Biodiversity and Conservation","ok"
"39","Animal Cognition","no"
"40","Animal Microbiome","no"
"41","Animals","no"
"42","Annales Botanici Fennici","ok"
"43","Annales de la Societe Entomologique de France","ok"
"44","Annales de Paleontologie","no"
"45","Annales Zoologici","ok"
"46","Annales Zoologici Fennici","ok"
"47","Annals of Botany","ok"
"48","Annals of the Entomological Society of America","ok"
"49","Annual Review of Animal Biosciences","ok"
"50","Annual Review of Ecology Evolution and Systematics","ok"
"51","Annual Review of Entomology","ok"
"52","Annual Review of Genetics","ok"
"53","Annual Review of Genomics and Human Genetics","ok"
"54","Annual Review of Marine Science","ok"
"55","Anthropocene","no"
"56","Anthropologie","no"
"57","Anthropozoologica","ok"
"58","Antimicrobial Agents and Chemotherapy","ok"
"59","Antiquity","ok"
"60","AOB Plants","ok"
"61","Applications in Plant Sciences","ok"
"62","Applied Animal Behaviour Science","no"
"63","Applied Biochemistry and Biotechnology","no"
"64","Applied Soil Ecology","no"
"65","Applied Vegetation Science","ok"
"66","Aquaculture","no"
"67","Aquaculture Environment Interactions","no"
"68","Aquaculture International","ok"
"69","Aquaculture Nutrition","ok"
"70","Aquaculture Reports","no"
"71","Aquaculture Research","no"
"72","Aquatic Botany","no"
"73","Aquatic Conservation: Marine and Freshwater Ecosystems","no"
"74","Aquatic Ecology","no"
"75","Aquatic Ecosystem Health & Management","ok"
"76","Aquatic Living Resources","ok"
"77","Aquatic Toxicology","no"
"78","Arachnology","ok"
"79","Archaeological and Anthropological Sciences","no"
