"library"	"collection"	"category"	"year"	"title"	"author"	"journal"	"book_title"	"editor"	"abstract"	"volume"	"issue"	"pages"	"publisher"	"place"	"institution"	"doi"	"url"	"note"
"DAFNEE"	"CESAB"	"journalArticle"	"2011"	"Des semences en partage : Construction sociale et identitaire d'un collectif paysan autour de pratiques semencières alternatives"	"Demeulenaere, Elise ; Bonneuil, Christophe"	"Techniques & Culture"	NA	NA	"Cet article se penche sur une dynamique portée par des producteurs en France, qui cherchent à réhabiliter la sélection à la ferme à partir de variétés anciennes. Notre travail vise à analyser les éléments qui soudent la communauté de pratiques constituée autour des dénommées « semences paysannes ».Dans un premier temps, nous rendons compte des ressorts matériels et idéels qui poussent des producteurs de blé à se lancer dans la recherche de variétés anciennes et dans le réapprentissage de techniques de sélection. Pour ces agriculteurs alternatifs cultivant le plus souvent sous le label Agriculture Biologique, les variétés anciennes offrent d?abord des possibilités techniques (une meilleure adaptation à leurs conditions de production). Elles représentent aussi un levier politique (reconquérir une autonomie par rapport à l?industrie semencière) et un positionnement ontologique (construire une relation de compagnonnage avec les plantes). À partir de la création du Réseau Semences Paysannes en 2003, qui met en relation ces personnes jusqu?alors isolées, les semences deviennent aussi les vecteurs d?un réseau de sociabilités privilégiées.De l?étude du réseau de circulation des semences ressort un fort rejet de la centralisation de l?activité de sélection : « la semence, ça regarde tout le monde ». Dans le même temps, l?économie morale des échanges de semences révèle que tout le monde ne peut pas rentrer dans ce collectif : les nouveaux entrants sont sélectionnés sur leur capacité à se mettre à l?écoute de ces variétés, dans un renversement des épreuves où l?humain est testé par la plante, et non pas l?inverse. En tant qu?objet qui circule et évolue de ferme en ferme, les semences constituent un objet intermédiaire, qui à la fois coordonne l?action collective et incarne les résultats de cette action. Parce qu?elles portent l?empreinte de ceux qui les ont travaillées, ces semences contribuent à resserrer le réseau, en l?inscrivant dans un tissu sans couture mêlant intimement les histoires des hommes et des blés. La pratique commune de la sélection à la ferme, matérialisée par la circulation physique des semences paysannes, constitue un acte performatif par lequel ces producteurs éprouvent le sentiment d?appartenir à un monde « paysan » construit en rupture avec la figure moderne de l?exploitant agricole.This article focuses on a network of farmers in France, who aim to re-establish on-farm seed production and plant breeding from heirloom vareties. Our study aims to analyse the elements which concretely bind the community of practice formed around what they literally call ?peasant seeds? (semences paysannes). The following points are addressed in turn: individual motives (technical, political, ethical or spiritual) which push farmers into rejecting the purchase at the cooperative of certified modern variety seeds; the characteristics of the seed exchange network; and finally, the forms of sociability that emerge from seed sharing within this network. The sharing of breeding practices as well as the exchange of ?peasant seeds? forms an operative act, through which producers share the sentiment of belonging to a ?peasant? community (communauté paysanne), built by breaking with modern industrial farming."	"57"	"2"	"202–221"	NA	NA	NA	NA	NA	"pubid: J6OZcwVsj5AC"
"DAFNEE"	"CESAB"	"journalArticle"	"2011"	"Earthworm indicators as tools for soil monitoring, characterization and risk assessment. An example from the national Bioindicator programme (France)"	"Pérès, Guénola ; Vandenbulcke, Franck ; Guernion, Muriel ; Hedde, Mickaël ; Beguiristain, Thierry ; Douay, Francis ; Houot, Sabine ; Piron, Denis ; Richard, Antoine ; Bispo, Antonio ; Grand, Cécile ; Galsomies, Laurence ; Cluzeau, Daniel"	"Pedobiologia"	NA	NA	"Considering the limited number of bioindicators available to assess soil quality, a national research programme was set up in France to develop such indicators (2006-2012), the \" Bioindicator\" programme. This programme tested 47 biological parameters (i.e. microorganisms, fauna, flora) including earthworms, in several sites differing in terms of land use, contamination type - PAHs or metals - and pollution levels. The present study proposes some study objectives for bioindicator approaches, based on the earthworm results from the programme. Therefore, different earthworm descriptors were tested at the community level (e.g. abundance, biomass, species and functional structures, and ecological traits) as well as the organism level (i.e. measuring the metallothionein coding gene expression level in earthworms). The present results, obtained from the programme's spring 2009 sampling campaign, discriminated among the different descriptors and showed that earthworm and endogeic abundance as well as the individual weight of endogeics seem to be good indicators in non-contaminated (cultivated) sites, while the ecological structure, namely the proportion of anecic vs. endogeic species, and the proportion of non-vulnerable species should be used as indicators of contaminated soils. Furthermore, the first results obtained for Lumbricus terrestris and L. rubellus rubellus are encouraging as they show that metallothionein expression increases in metal-contaminated soils. The relevance of these descriptors, which have to be considered in study objectives, requires the analysis of 2010 results. © 2011 Elsevier GmbH."	"54"	"SUPPL."	"S77–S87"	NA	NA	NA	"10.1016/j.pedobi.2011.09.015"	"http://dx.doi.org/10.1016/j.pedobi.2011.09.015"	"pubid: YGhAHpnIhDoC"
"DAFNEE"	"CESAB"	"journalArticle"	"2012"	"The organic seed regulations framework in Europe-current status and recommendations for future development"	"Döring, Thomas F. ; Bocci, Riccardo ; Hitchings, Roger ; Howlett, Sally ; Lammerts van Bueren, Edith T. ; Pautasso, Marco ; Raaijmakers, Maaike ; Rey, Frederic ; Stubsgaard, Anke ; Weinhappel, Manfred ; Wilbois, Klaus P. ; Winkler, Louisa R. ; Wolfe, Martin S."	"Organic Agriculture"	NA	NA	"Abstract Organic agriculture regulations, in particular European regulation EC 889/2008, prescribe the use of organically produced seed. For many cultivated plants, however, organic seed is often not available. This is mainly because investment in organic plant ..."	"2"	"3-4"	"173–183"	NA	NA	NA	"10.1007/s13165-012-0034-7"	NA	"pubid: kQqwFFzsCTwC"
"DAFNEE"	"CESAB"	"journalArticle"	"2012"	"Functional traits of soil invertebrates as indicators for exposure to soil disturbance"	"Hedde, Mickaël ; van Oort, Folkert ; Lamy, Isabelle"	"Environmental Pollution"	NA	NA	"We tested a trait-based approach to link a soil disturbance to changes in invertebrate communities. Soils and macro-invertebrates were sampled in sandy soils contaminated by long-term wastewater irrigation, adding notably organic matter and trace metals (TM). We hypothesized that functional traits of invertebrates depict ways of exposure and that exposure routes relate to specific TM pools. Geophages and soft-body invertebrates were chosen to inform on exposure by ingestion or contact, respectively. Trait-based indices depicted more accurately effects of pollution than community density and diversity did. Exposure by ingestion had more deleterious effects than by contact. Both types of exposed invertebrates were influenced by TM, but geophages mainly responded to changes in soil organic matter contents. The trait-based approach requires to be applied in various conditions to uncorrelate specific TM impacts from those of other environmental factors. © 2012 Elsevier Ltd. All rights reserved."	"164"	NA	"59–65"	NA	NA	NA	"10.1016/j.envpol.2012.01.017"	"http://dx.doi.org/10.1016/j.envpol.2012.01.017"	"pubid: ynsZFq2pu0MC"
"DAFNEE"	"CESAB"	"journalArticle"	"2012"	"Challenges in the conservation and sustainable use of genetic resources"	"Pautasso, Marco"	"Biology Letters"	NA	NA	"The meeting on 'Genetic Resources in the Face of New Environmental, Economic and Social Challenges' held in Montpellier (France) from 20-22 September 2011 brought together about 200 participants active in research and management of the genetic diversity of plant, animal, fungal and microbial species. Attendees had the rare opportunity to hear about agronomy, botany, microbiology, mycology, the social sciences and zoology in the same conference. The research teams presented the results of about 50 projects funded by the French Foundation for Research on Biodiversity to preserve genetic diversity carried out in Africa, Asia, Europe and the Americas. These projects aimed to better understand and manage genetic resources in a rapidly changing world (e.g. structural changes in the agricultural industry, the need for climate change mitigation and adaptation, the challenge of achieving food security despite the growing world population and changing dietary habits, the opportunities provided by the many new molecular biology tools, the problems caused by widespread scientific budget cuts). The meeting also hosted some roundtables open to all participants which provided a forum to establish a much needed dialogue between policy-makers, managers and researchers. © 2011 The Royal Society."	"8"	"3"	"321–323"	NA	NA	NA	"10.1098/rsbl.2011.0984"	NA	"pubid: 654Jc7Ppz2kC"
"DAFNEE"	"CESAB"	"journalArticle"	"2012"	"Publication growth in biological sub-fields: Patterns, predictability and sustainability"	"Pautasso, Marco"	"Sustainability"	NA	NA	"Biologists are producing ever-increasing quantities of papers. The question arises of whether current rates of increase in scientific outputs are sustainable in the long term. I studied this issue using publication data from the Web of Science (1991–2010) for 18 biological sub-fields. In the majority of cases, an exponential regression explains more variation than a linear one in the number of papers published each year as a function of publication year. Exponential growth in publication numbers is clearly not sustainable. About 75% of the variation in publication growth among biological sub-fields over the two studied decades can be predicted by publication data from the first six years. ̊trendy fields such as structural biology, neuroscience and biomaterials cannot be expected to carry on growing at the current pace, because in a few decades they would produce more papers than the whole of biology combined. Synthetic and systems biology are problematic from the point of view of knowledge dissemination, because in these fields more than 80% of existing papers have been published over the last five years. ̊evidence presented here casts a shadow on how sustainable the recent increase in scientific publications can be in the long term."	"4"	"12"	"3234–3247"	NA	NA	NA	"10.3390/su4123234"	NA	"pubid: xlVdBZVQT58C"
"DAFNEE"	"CESAB"	"journalArticle"	"2013"	"Ecological traits and environmental affinity explain Red Sea fish introduction into the Mediterranean"	"Belmaker, Jonathan ; Parravicini, Valeriano ; Kulbicki, Michel"	"Global Change Biology"	NA	NA	"Alien species are considered one of the prime threats to biodiversity, driving major changes in ecosystem structure and function. Identifying the traits associated with alien introduction has been largely restricted to comparing indigenous and alien species or comparing alien species that differ in abundance or impact. However, a more complete understanding may emerge when the entire pool of potential alien species is used as a control, information that is rarely available. In the eastern Mediterranean, the marine environment is undergoing an unparalleled species composition transformation, as a flood of aliens have entered from the Red Sea following the opening of the Suez Canal in 1869. In this study, we compile data on species traits, geographical distribution, and environmental affinity of the entire pool of reef-associated fish species in the Red Sea and more generally across the Indo- Pacific. We use this extensive data to identify the prime characteristics separating Red Sea species that have become alien in the Mediterranean from those that have not. We find that alien species occupy a larger range of environments in their native ranges, explaining their ability to colonize the seasonal Mediterranean. Red Sea species that naturally experience high maximum temperatures in their native range have a high probability of becoming alien. Thus, contrary to predictions of an accelerating number of aliens following increased water temperatures, hotter summers in this region may prevent the establishment of many alien species. We further find that ecological trait diversity of alien species is substantially more evenly spaced and more divergent than random samples from the pool of Red Sea species, pointing at additional processes, such as competition, promoting ecological diversity among alien species. We use these results to provide a first quantitative ranking of the potential of Red Sea species to become established in the eastern Mediterranean. [ABSTRACT FROM AUTHOR]"	"19"	"5"	"1373–1382"	NA	NA	NA	"10.1111/gcb.12132"	NA	"pubid: SgM-ki2adj0C"
"DAFNEE"	"CESAB"	"journalArticle"	"2013"	"Biogeographic, historical and environmental influences on the taxonomic and functional structure of Atlantic reef fish assemblages"	"Bender, Mariana G. ; Pie, Marcio R. ; Rezende, Enrico L. ; Mouillot, David ; Floeter, Sergio R."	"Global Ecology and Biogeography"	NA	NA	"Aim To disentangle how historic, biogeographic and environmental factors have shaped the composition of different reef fish assemblages, we analysed assemblage structure from a taxonomic (proportions of species from different families) and functional perspective (diet and body size). Location Atlantic Ocean. Methods The distributions of 1629 fish species were compiled for 31 locations across the Atlantic Ocean (39°66′ N, 27°50′ S). These locations provide a richness gradient ranging from 54 species in St Paul's Rocks to 474 in Cuba. We used cluster analyses to assess how historical and biogeographic factors have shaped the taxonomic and functional structure (i.e. the distribution of species within families, diet and body size groups) of assemblages. We then employed a constrained analysis of principal coordinates (CAP) to test the relative influence of the distance from the biodiversity centre in the Atlantic, sea surface temperature, isolation, coral species richness and area, and coastal length on the observed patterns of assemblage structure. Results The taxonomic and functional structure of reef fish assemblages across the Atlantic exhibits a biogeographic fingerprint, with a marked discrimination between species-rich biogenic reefs (concentrated primarily in the Caribbean and composed of small species feeding on invertebrates) and poorer peripheral regions dominated by larger species with more diverse diets. The first CAP axis explains 87% of body size distribution in assemblages, showing that the effects of sea surface temperature and coral richness and those of isolation are antagonistic and can be embedded into a single dimension. Environmental factors, such as temperature and habitat complexity, explain the disproportionate number of small species in the Caribbean, whereas in the remaining regions the predominance of large-bodied fish increases with isolation due to high dispersal ability. Main conclusions We found that historical events, which have shaped the biogeography of reef fishes, and environmental characteristics (coral reefs versus periphery) have both played a role in structuring the taxonomic and functional components of Atlantic fish assemblages."	"22"	"11"	"1173–1182"	NA	NA	NA	"10.1111/geb.12099"	NA	"pubid: ZqLB7dQ1iF4C"
"DAFNEE"	"CESAB"	"journalArticle"	"2013"	"The role of ecology in the geographical separation of blood parasites infecting an insular bird"	"Cornuault, Josselin ; Khimoun, Aurélie ; Harrigan, Ryan J. ; Bourgeois, Yann X. C. ; Milá, Borja ; Thébaud, Christophe ; Heeb, Philipp"	"Journal of Biogeography"	NA	NA	"Aim Niche modelling is increasingly used to predict species' geographical distributions or to infer the evolutionary or ecological processes that constrain them, but relatively few studies have examined the ecological processes governing the distributions of parasites. Among such processes, niche divergence is frequently invoked to explain species range variation. Here, we test whether the geographical distributions of two lineages of Leucocytozoon (Haemosporida) avian parasites are linked to climatic conditions and whether niche divergence can explain their geographical separation. Location Réunion, Mascarene archipelago, south-western Indian Ocean. Methods Leucocytozoon prevalence data were obtained by PCR screening of avian blood samples. Prevalence data and 20 environmental layers were used to build species distribution models (SDMs). SDMs were built by averaging the predictions of five different models: random forests (RF), generalized linear models (GLM), generalized additive models (GAM), multivariate adaptive regression splines (MARS) and support vector machines (SVM). Niche identity and background tests were used to test for a role of niche divergence in explaining parasite distributions. Results The geographical ranges of the two lineages of Leucocytozoon under study showed little overlap. Species distribution modelling suggested that niche divergence may explain the spatial variation observed in Leucocytozoon distribution, implying that the geographical separation of parasites is linked to environmental conditions. The variables that best explained parasite distribution were all related to precipitation patterns. Main conclusions As precipitation cannot directly affect endosymbiotic Leucocytozoon parasites, we suggest that the geographical separation of Leucocytozoon lineages is the result of an underlying geographical structure in the dipteran vectors that transmit these parasites. This illustrates the need to consider the ecology of vectors when predicting the distribution of vector-borne parasites. Our study also shows that different parasite lineages, contained within broadly defined parasitic taxa, may have very different ecologies, and that these differences should be taken into account when attempting to understand the ecological determinants of parasite distribution and disease emergence."	"40"	"7"	"1313–1323"	NA	NA	NA	"10.1111/jbi.12098"	NA	"pubid: RJujIP1NYNUC"
"DAFNEE"	"CESAB"	"journalArticle"	"2013"	"Timing and number of colonizations but not diversification rates affect diversity patterns in hemosporidian lineages on a remote oceanic archipelago"	"Cornuault, Josselin ; Warren, Ben H. ; Bertrand, Joris A. M. ; Milá, Borja ; Thébaud, Christophe ; Heeb, Philipp"	"The American Naturalist"	NA	NA	"Parasite diversity on remote oceanic archipelagos is determined by the number and timing of colonizations and by in situ diversification rate. In this study, we compare intra-archipelago diversity of two hemosporidian parasite genera, Plasmodium and Leucocytozoon, infecting birds of the Mascarene archipelago. Despite the generally higher vagility of Plasmodium parasites, we report a diversity of Plasmodium cytochrome b haplotypes in the archipelago much lower than that of Leucocytozoon. Using phylogenetic data, we find that this difference in diversity is consistent with differences in the timing and number of colonizations, while rates of diversification do not vary significantly between the two genera. The prominence of immigration history in explaining current diversity patterns highlights the importance of historical contingencies in driving disparate biogeographic patterns in potentially harmful blood parasites infecting island birds."	"182"	"6"	"820–833"	NA	NA	NA	"10.1086/673724"	NA	"pubid: eIKNFFVQvJAC"
