"journal"	"collection"	"year"	"title"	"corrected_title"	"author"	"doi"	"scopus_id"	"scopus_citation"	"SCOPUS_source"	"keep"	"IPP"	"SNIP"	"parser"	"isdafnee"
"15th Annual International Conference on Intelligent Systems for Molecular Biology (ISMB) &amp; 6th European Conference on Computational Biology (ECCB)"	"NCEAS"	"2007"	"An ontology for the semantic modelling of natural systems"	"NF"	"Villa, Ferdinando ; Athanasiadis, I. ; Johnson, Gary"	NA	NA	NA	NA	NA	NA	NA	"15th annual international conference on intelligent systems for molecular biology ismb amp 6th european conference on computational biology eccb"	NA
"20th International Conference on Data Engineering (ICDE)"	"NCEAS"	"2004"	"Web service composition through declarative queries: The case of conjunctive queries with union and negation [abstract]"	NA	"Ludaescher, Bertram ; Nash, A."	"10.1109/ICDE.2004.1320070"	NA	NA	NA	"REMOVE"	NA	NA	"20th international conference on data engineering icde"	NA
"23rd IEEE Conference on Mass Storage Systems and Technologies"	"NCEAS"	"2006"	"Storage resource broker global data grids"	NA	"Moore, Reagan ; Chen, Sheau-Yen ; Schroeder, Wayne ; Rajasekar, Arcot ; Wan, Michael ; Jagatheesan, Arun"	NA	19900192717	4	NA	"REMOVE"	NA	NA	"23rd ieee conference on mass storage systems and technologies"	NA
"2nd IEEE International Conference on Web Services (ICWS)"	"NCEAS"	"2004"	"A web service composition and deployment framework for scientific workflows [abstract]"	NA	"Altintas, Ilkay ; Jaeger-Frank, Efrat ; Lin, Kuo-chuan ; Ludaescher, Bertram ; Memon, A."	"10.1109/ICWS.2004.1314956"	NA	NA	NA	"REMOVE"	NA	NA	"2nd ieee international conference on web services icws"	NA
"30th Congress of the International Association of Theoretical and Applied Limnology"	"NCEAS"	"2008"	"Daphina control of the spring clear water phase in six polymictic lakes of varying productivity size"	NA	"Droscher, Iris ; Finlay, Kerri ; Patione, A ; Leavitt, Peter"	"10.1080/03680770.2008.11902107"	NA	NA	NA	"REMOVE"	NA	NA	"30th congress of the international association of theoretical and applied limnology"	NA
"30th Congress of the International Association of Theoretical and Applied Limnology"	"NCEAS"	"2008"	"Landscape analysis of the role of N2 fixation in satisfying algal demand for nitrogen in eutrophic lakes"	NA	"Patione, A ; Leavitt, Peter"	"10.1080/03680770.2008.11902145"	NA	NA	NA	"REMOVE"	NA	NA	"30th congress of the international association of theoretical and applied limnology"	NA
"3rd IEEE International Conference on Web Services (ICWS)"	"NCEAS"	"2005"	"Validating compositions of geospatial processing web services in a scientific workflow environment"	NA	"Zhang, Jianting ; Pennington, Deana ; Michener, William"	NA	4900153249	5	NA	"REMOVE"	NA	NA	"3rd ieee international conference on web services icws"	NA
"3rd International Workshop on Data Integration in the Life Sciences (DILS), European Bioinformatics Institute (EBI)"	"NCEAS"	"2006"	"Collection-oriented scientific workflows for integrating and analyzing biological data"	NA	"McPhillips, Timothy ; Bowers, Shawn ; Ludaescher, Bertram"	"10.1007/11799511_23"	25674	35	NA	"REMOVE"	NA	NA	"3rd international workshop on data integration in the life sciences dils european bioinformatics institute ebi"	NA
"4th European Semantic Web Conference"	"NCEAS"	"2007"	"Enabling knowledge-based software engineering through semantic object-relational mappings"	NA	"Athanasiadis, I. ; Villa, Ferdinando ; Rizzoli, Andrea"	NA	NA	NA	NA	"REMOVE"	NA	NA	"4th european semantic web conference"	NA
"4th IEEE International Conference on e-Science"	"NCEAS"	"2008"	"A high-level distributed execution framework for scientific workflows"	NA	"Wang, Jianwu ; Altintas, Ilkay ; Berkley, Chad ; Gilbert, Lucas ; Jones, Matthew"	"10.1109/eScience.2008.166"	17300154703	7	NA	"REMOVE"	NA	NA	"4th ieee international conference on e science"	NA
"5th International Conference on Ecological Informatics (ISEI5)"	"NCEAS"	"2006"	"Semi-automatic update of existing taxonomy using text mining"	NA	"Gauch, Susan ; Chandramouli, A."	"10.1016/j.jbi.2016.09.002"	NA	NA	NA	"REMOVE"	NA	NA	"5th international conference on ecological informatics isei5"	NA
"5th International Semantic Web Conference (ISWC) Workshop"	"NCEAS"	"2006"	"Representing the dimensions of an ecological niche"	NA	"Pennington, Deana"	NA	NA	NA	NA	"REMOVE"	NA	NA	"5th international semantic web conference iswc workshop"	NA
"6th International Conference on Data Mining (ICDM)"	"NCEAS"	"2006"	"Opening the black box of feature extraction: Incorporating visualization into high-dimensional data mining processes"	NA	"Zhang, Jianting ; Gruenwald, Le"	NA	7600153125	3	NA	"REMOVE"	NA	NA	"6th international conference on data mining icdm"	NA
"6th International Conference on Web-Age Information Management (WAIM)"	"NCEAS"	"2005"	"Using web services and scientific workflow for species distribution prediction modeling"	NA	"Zhang, Jianting ; Pennington, Deana ; Michener, William"	NA	25674	13	NA	"REMOVE"	NA	NA	"6th international conference on web age information management waim"	NA
"A report of the Basin Regional Assessment Team for the U.S. Global Change Research Program, Utah State University"	"NCEAS"	"2003"	"Preparing for a changing climate: The potential consequences of climate variability and change, Rocky Mountain/ Great Basin"	NA	"Wagner, Frederic"	NA	NA	NA	NA	"REMOVE"	NA	NA	"a report of the basin regional assessment team for the u s global change research program utah state university"	NA
"ACM International Conference Proceedings Series, 2nd International Workshop on Data Management for Sensor Networks"	"NCEAS"	"2005"	"Accessing sensor data using meta data: A virtual object ring buffer framework"	NA	"Rajasekar, Arcot ; Lu, Sifang ; Moore, Reagan ; Vernon, Frank ; Orcutt, John ; Lindquist, Kent"	"10.1145/1080885.1080892"	11600154611	4	NA	"REMOVE"	NA	NA	"acm international conference proceedings series 2nd international workshop on data management for sensor networks"	NA
"ACM Symposium on Principles of Database Systems (PODS)"	"NCEAS"	"2004"	"Processing first-order queries with limited access patterns"	NA	"Nash, A. ; Ludaescher, Bertram"	"10.1145/1055558.1055601"	NA	NA	NA	"REMOVE"	NA	NA	"acm symposium on principles of database systems pods"	NA
"ACM Transactions on Database Systems (TODS) (Special Issue)"	"NCEAS"	"2004"	"Incremental validation of xml documents"	NA	"Balmin, A. ; Papakonstantinou, Y. ; Vianu, Victor"	NA	25674	13	NA	"REMOVE"	NA	NA	"acm transactions on database systems tods special issue"	NA
"ACM Transactions on Information Systems"	"NCEAS"	"2009"	"Training a hierarchical classifier using inter document relationships"	"NF"	"Gauch, Susan ; Ranganathan, S. ; Chandramouli, A."	"10.1002/asi.20951"	NA	NA	"ACM Transactions on Information Systems"	"OK"	4.239669421	2.706851441	"acm transactions on information systems"	NA
"Acta Oecologica"	"CESAB"	"2014"	"Landscape heterogeneity as an ecological filter of species traits"	NA	"Duflot, Rémi ; Georges, Romain ; Ernoult, Aude ; Aviron, Stéphanie ; Burel, Françoise"	"10.1016/j.actao.2014.01.004"	12493	66	"Acta Oecologica"	"OK"	1.852112676	0.76224467	"acta oecologica"	"no"
"ACTA Oecologica-International Journal of Ecology"	"NCEAS"	"2004"	"Evaluating methods for assessing extinction risk"	NA	"Burgman, Mark"	"10.1016/j.actao.2004.06.001"	12493	1	"Acta Oecologica"	"OK"	1.852112676	0.76224467	"acta oecologica international journal of ecology"	NA
"ACTA Oecologica-International Journal of Ecology"	"NCEAS"	"2004"	"Comparing predictions of extinction risk using models and subjective judgement"	NA	"McCarthy, Michael ; Keith, David ; Tietjen, Justine ; Burgman, Mark ; Maunder, Mark ; Master, Larry ; Brook, Barry ; Mace, Georgina ; Possingham, Hugh ; Medellin, Rodrigo ; Andelman, Sandy ; Regan, Helen ; Regan, Tracey ; Ruckelshaus, Mary"	"10.1016/j.actao.2004.01.008"	12493	50	"Acta Oecologica"	"OK"	1.852112676	0.76224467	"acta oecologica international journal of ecology"	NA
"ACTA Oecologica-International Journal of Ecology"	"NCEAS"	"2016"	"Soil conditions moderate the effects of herbivores, but not mycorrhizae, on a native bunchgrass"	NA	"Connolly, Brian ; Orrock, John ; Witter, Martha"	"10.1016/j.actao.2016.09.005"	12493	4	"Acta Oecologica"	"OK"	1.852112676	0.76224467	"acta oecologica international journal of ecology"	NA
"ACTA Oecologica-International Journal of Ecology"	"NCEAS"	"2004"	"Population viability analysis based on combining Bayesian, integrated, and hierarchical analyses"	NA	"Maunder, Mark"	"10.1016/j.actao.2003.11.008"	12493	42	"Acta Oecologica"	"OK"	1.852112676	0.76224467	"acta oecologica international journal of ecology"	NA
"ACTA Oecologica-International Journal of Ecology"	"NCEAS"	"2004"	"Capturing expert knowledge for threatened species assessments: A case study using NatureServe conservation status ranks"	NA	"Regan, Tracey ; Master, Larry ; Hammerson, Geoffrey"	"10.1016/j.actao.2004.03.013"	12493	35	"Acta Oecologica"	"OK"	1.852112676	0.76224467	"acta oecologica international journal of ecology"	NA
